影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
丰山犬,全宰洪,金基德,尹继尚;金圭丽;裴龙根,剧情,韩国,韩国语,2011-06-23(韩国)
奶酪陷阱,金帝荣,金帝荣,朴海镇;吴涟序;刘仁英;朴基雄;吴钟赫;文知允;朴山多拉,爱情;惊悚,韩国 / 中国大陆,韩语,2018-03-14(韩国)
宫合,洪昌杓,李素美,沈恩京;李昇基;金相庆;延宇振;姜敏赫;崔宇植;赵福来;崔珉豪;朴善英;曹秀香;朴忠善;孙成灿;宋英才;李娜允;宋光元;朱多英;崔俊昊;姜伦制;李善彬;李龙女;朴智一;尹有善;李润健;崔玟秀;柳正浩;徐佑镇,剧情;喜剧;爱情;历史,韩国,韩语,2018-02-28(韩国)
小森林,林顺礼,,金泰梨;柳俊烈;文素丽;秦基周,剧情,韩国,韩语,2018-02-28(韩国)
金色梦乡,卢东硕,李海准;卢东硕;曹义锡?;伊坂幸太郎,姜栋元;韩孝周;金义城;金成钧;金大明;刘在明;白奉基;李俊赫;崔宇植;郑素敏;尹继尚;李尚熙;元贤俊;张勇福;朴根亚;郑亨锡;袁民奎;李杭娜;柳惠琳;车顺裴;徐光载;李東勇;廉惠兰;金裕贞,剧情;悬疑,韩国,韩语,2018-02-14(韩国)
朝鲜名侦探：吸血怪魔的秘密,金锡允,金卓焕;韩增爱;赵恩怡;李南奎,金智媛;金明民;吴达洙;金汎;李民基,喜剧;冒险;古装,韩国,韩语,2018-02-08(韩国)
念力,延尚昊,延尚昊,柳承龙;沈恩京;朴正民;郑有美;金敏载;艺秀晶;郑煐禥;金英善;李濟延;金度允;太恒浩;康相元;尹智旭;嚴志滿;金基天;函勝敏;高娜熙;李正恩;李承勇;禹正國;姜德重,剧情;喜剧;奇幻,韩国,韩语,2018-01-31(韩国)
那就是我的世界,崔成贤,崔成贤,李秉宪;朴正民;尹汝贞;韩智敏;金成铃;崔莉;黄锡晶;文淑;白书怡;李周英;张海恩;朴智勋;柳正浩;孙德基;金炳春;洪锡然;朴晌勋;车明旭;金瑞元,剧情,韩国,韩语,2018-01-17(韩国)
文集,李润珍,申河恩,郑帝元;申银秀;许真;徐贤宇;孔敏晶;卢·苏珊娜,剧情;爱情,韩国,韩语,2018-01-06(韩国)
与神同行,金容华,金容华,河正宇;车太贤;朱智勋;金香起;金东旭;艺秀晶;李政宰;吴达洙;林元熙;都暻秀;张光;郑海钧;金荷娜;金海淑;金秀安;马东锡,剧情;奇幻,韩国,韩语,2017-12-20(韩国)
一定要抓住,金泓善,李赞荣;柳卡烈,白润植;成东日;千虎珍;裴宗玉;赵达焕;朴亨洙;孙钟学;李坎熙;朴智賢;金思英;吴熙俊;高圭弼;金善荷;吴炽垣;申文成;金民尚;李民雄;孙成灿;刘在明;郑侑敏,惊悚;犯罪,韩国,韩语,2017-11-29(韩国)
大将金昌洙,李元泰,李元泰,赵震雄;宋承宪;郑满植;郑镇荣;刘承睦;申正根;李曙原;郭东延;孙钟学;武田裕光;金胤成;郑圭洙;尹炳熙;裴振雄,剧情;动作,韩国,韩语,2017-10-19(韩国)
扑通扑通我的人生,李在容,崔民硕;李在容;吴晓珍,宋慧乔;姜栋元;曹成穆;白日燮;许俊硕;金素真;车银优;李圣旻;金甲洙;金仁泰,剧情;家庭,韩国,韩语,2015-03-13(中国大陆);2014-09-03(韩国)
杀人依赖,孙勇浩,孙勇浩,金相庆;金成钧;朴圣雄;尹胜雅;赵在允;金义城;纪柱峰,惊悚;犯罪,韩国,韩语,2015-03-12(韩国)
社交恐惧症,洪锡宰,洪锡宰,卞耀汉;李柱胜;柳俊烈,剧情,韩国,韩语,2015-03-12(韩国)
地狱奶奶,申汉率,申汉率,金秀美;郑满植;金正泰;李泰兰,喜剧,韩国,韩语,2015-03-05(韩国)
纯真时代,安相勋,安相勋,申河均;张赫;姜汉娜;姜河那,剧情;爱情;历史,韩国,韩语,2015-03-05(韩国)
雪路,李娜静,刘宝拉,金香起;金赛纶;张荣男;徐荣柱,剧情;历史;战争,韩国,韩语,2015-02-28(电视版);2017-03-01(电影版)
朝鲜名侦探：奴隶的女儿,金锡允,金锡允,金明民;吴达洙;李沇熹,喜剧;犯罪,韩国,韩语,2015-02-11(韩国)
如此美好,金炫锡,金炫锡,金允石;郑宇;韩孝周;金喜爱;张铉诚;晋久;姜河那;赵福来,喜剧;爱情,韩国,韩语,2015-02-05(韩国)
于宇同：无主之花,李洙成,Lee Chang-gyoo,Baek Do-bin;宋恩彩;白道彬;吕旭焕,情色;古装,韩国,韩语,2015-01-29(韩国)
朝我心脏开枪,文在容,文在容;白承彬,吕珍九;李民基;刘五性;金正泰;金基天;申久;宋永彰;朴斗植;韩惠琳,剧情,韩国,韩语,2015-01-28(韩国)
江南1970,庾河,庾河,李敏镐;金来沅;郑镇荣;金雪炫;刘承睦;崔镇浩;严孝燮;金智秀,剧情;动作,韩国,韩语,2015-01-21(韩国)
猫的葬礼,李仲勋,宏;李仲勋,强仁;朴世荣;郑糠云,剧情;爱情,韩国,韩语,2015-01-15(韩国)
今天的恋爱,朴珍杓,李炳宪,李昇基;文彩元;李瑞镇;郑俊英,喜剧;爱情,韩国,韩语,2015-01-14(韩国)
许三观,河正宇,金周镐;河正宇;余华,河正宇;河智苑;尹恩惠;郑满植;赵震雄;李璟荣;金英爱;成东日;金秉玉;金成钧;张光;金成铃;全慧珍;朱进模;黄宝拉;南多凛,剧情;家庭,韩国,韩语,2015-01-14(韩国)
工作女郎,郑凡植,郑凡植,赵汝贞;李成敏;金太祐;金宝妍;罗美兰;金基天;赵在允;高庚杓,喜剧,韩国,韩语,2015-01-07(韩国)
偷狗的完美方法,金成浩,金成浩;申渊植;巴巴拉·奥康纳,金惠子;李来;崔民秀;姜惠贞;李弘基;李基英;曹恩智;Sam Hammington;李天熙,剧情;家庭,韩国,韩语,2014-12-31(韩国)
尚衣院,李元硕,Byounghak Lee,韩石圭;高修;朴信惠;柳演锡;马东锡;申素率;Sung-tae Heo;赵达焕;李侑菲;Ye-ji Yeon,剧情,韩国,韩语,2014-12-24(韩国)
高手们,金泓善,金亮中;金泓善;朴素贤,金宇彬;李玹雨;高昌锡;金英哲;林周焕;赵胤熙;赵达焕;申久,动作;犯罪,韩国,韩语,2014-12-24(韩国)
鸣梁海战,金韩民,全哲洪;金韩民,崔岷植;柳承龙;赵震雄;晋久;李贞贤;权律;大谷亮平;李成俊;金明坤;鲁敏宇;金太勋;朴宝剑,剧情;动作;传记;战争,韩国,韩语,2014-12-12(中国大陆);2014-07-30(韩国)
德水里五兄弟,全炯俊,全炯俊,尹相铉;宋诗曦;李雅依;黄灿盛;李光洙;金志珉;尼查坤·抔勒威查固;金光奎,喜剧;家庭,韩国,韩语,2014-12-04(韩国)
怨女日记,金志贤,金智苑,金瑟祺;吴尚镇;徐伊安;蔡秀彬;郑俊镐;甄美里;全秀景;杨真诚,喜剧;爱情;古装,韩国,韩语,2014-11-30(韩国)
热血青春,李延宇,李延宇,朴宝英;李钟硕;金英光;李世荣;权海骁;朴正民;罗美兰;全秀珍;金熙元,喜剧;爱情,韩国,韩语,2014-01-23(韩国)
野狗们,Ha Won-joon,,金桢勋;Cha Ji-heon;Myeong Kye-nam,惊悚,韩国,韩语,2014-01-23(韩国)
奇怪的她,黄东赫,申东益;洪允贞;董熹璇;黄东赫,沈恩京;罗文姬;朴仁焕;李阵郁;郑真英;成东日;金秀贤,喜剧;奇幻,韩国,韩语,2014-01-22(韩国)
当男人恋爱时,韩东旭,,黄晸玟;韩惠珍;郑满植;金秉玉;郭度沅,爱情,韩国,韩语,2014-01-22(韩国)
初恋大作战,Ahn Cheol-ho,,黄雨瑟惠;谢姬,喜剧;爱情,韩国,韩语,2014-01-16(韩国)
杀人者,Lee Gi-wook,Lee Gi-wook,马东锡;安道奎;金贤秀,惊悚,韩国,韩语,2014-01-16(韩国)
计划男,成时翕,成时翕,郑在咏;韩智敏;车艺莲;张光;金智英;朴真珠,喜剧;音乐,韩国,韩语,2014-01-09(韩国)
比悲伤更悲伤的故事 比悲傷更悲傷的故事,林孝谦,吕安弦,陈意涵;刘以豪;张书豪;陈庭妮;吴映洁;禾浩辰;游大庆;石知田;黄丽玲;姚爱宁,爱情,台湾,汉语普通话,2019-03-14(中国大陆);2018-11-30(台湾)
中邪,马凯,马凯,董天文;何佳;赵树达;文中学;贺媛媛;冯丹菊;孙德强;谢印梅;刘荣惠;王丹丹,惊悚;恐怖,中国大陆,汉语普通话,2018-06(中国大陆);2016-07-23(FIRST青年影展)
猫与桃花源,王微,王微,李宇峰;杨砚铎;周华健;张喆;陈霖生,动画;家庭;冒险,中国大陆,汉语普通话,2018-04-05(中国大陆)
奇葩朵朵,李欣;李洋,,张若昀;马思纯;李现;刘敏涛;姜超;李霄云;陈芋米;安笑歌;吴宥萱,喜剧;爱情,中国大陆,汉语普通话,2018-04-04(中国大陆)
三伏天,乔丹·席勒,乔丹·席勒,黄璐;罗蓝山;田振崴,剧情;同性,香港,汉语普通话,2018-03-30(中国大陆);2016-02-13(柏林电影节);2016-03-26(亚特兰大电影节)
再见十八班,禹岚馨,禹岚馨;李雨洁,柯焱曦;熊婧文;秦海,剧情,中国大陆,汉语普通话,2018-03-07(中国大陆)
魔国志I之黄巾之乱,回宇,,何育骏,古装,中国大陆,汉语普通话,2018-03-07(中国大陆)
齐天大圣·万妖之城,项秋良;项河生,项秋良;项河生,陈浩民;林子聪;范梦;赵东昊;王洪千;李佳颖;骆应钧;李平安,奇幻;冒险;古装,中国大陆,汉语普通话,2018-03-02(中国大陆)
祖宗十九代,郭德纲,郭德纲;陈璧瑜,岳云鹏;吴京;吴秀波;井柏然;林志玲;王宝强;大鹏;吴君如;李晨;杜淳;郑恺;欧弟;张国立;贾乃亮;张俪;马苏;萧敬腾;汪东城;于谦;黄磊;吴樾;孙艺洲;贾玲;谢依霖;孟非;郭麒麟;谢楠;王小利;张晨光;刘蓓;孙越,喜剧;奇幻,中国大陆,汉语普通话,2018-02-16(中国大陆)
西游记女儿国,郑保瑞,文宁,郭富城;冯绍峰;赵丽颖;小沈阳;罗仲谦;林志玲;梁咏琪;刘涛;孙伊涵;苑琼丹;潘斌龙;陈雅丽;施诗,喜剧;爱情;奇幻,中国大陆 / 香港,汉语普通话,2018-02-16(中国大陆)
盲·道,李杨,李杨,李杨;杜函梦;于越;胡明,剧情;犯罪,中国大陆,汉语普通话,2018-02-02(中国大陆);2017-04-22(北京电影节)
南极之恋,吴有音,吴有音,赵又廷;杨子姗,爱情;冒险,中国大陆,汉语普通话,2018-02-01(中国大陆)
灵魂摆渡·黄泉,巨兴茂,小吉祥天,于毅;何花;王瑞昌;岳丽娜;倪虹洁;巨兴茂;鲁佳妮,悬疑;惊悚;奇幻,中国大陆,汉语普通话,2018-02-01(中国大陆)
小戏骨：八仙过海,侯亮,李怀德;姚楠,邹轩琦;张子豪;夏泽宇;王征翰;王亭文;刘世杰;陈帅;李嘉宝;莫涂弘哲;李芳淙;董李无忧;王思苏;赫赫;王艺霏;郭唐维;苏恩铭;康文轩;可乐;贺杨明敏;高源昌;何家辉;李佩璇;田雨;小毛;贾笑涵;粱哲;周祁逸飞;吕玥瑶;杨瑞承;伊家乐;吴梓铭;陈宇轩;张瑞宇;闹闹;金铭一;蔡昊儒;洪悦熙;王炳轩,剧情;儿童;奇幻,中国大陆,汉语普通话,2018-01-29(中国大陆)
大雪冬至,邢潇,邢潇;吴辰泰;陈新建,祝希娟;果汁;张桐;李金斗;赵婉瑜,剧情,中国大陆,汉语普通话,2018-01-25(中国大陆);2017-06-19(上海电影节)
末世人间道,王天尉,王天尉;吴佰营;赵飞尔,杨添明;杨明逸;张伊楠;王昱超;贾凤柱;陈芊桦;唐鑫;杨漫,动作;惊悚;恐怖,中国大陆,汉语普通话,2018-01-19(中国大陆)
英雄本色2018,丁晟,丁晟;许阳,王凯;马天宇;王大陆;余皑磊;林雪;吴樾;李梦;张艺上;姜珮瑶;李岷城;宁浩;韩寒;丁晟;曾志伟,剧情;动作,中国大陆 / 香港,汉语普通话,2018-01-18(中国大陆)
一个人的课堂,李军林,王天化,孙海英;王乃训;韩三明,剧情;儿童,中国大陆,汉语普通话,2018-01-16(中国大陆)
我是好人,邢键钧,邢键钧,贾景晖;刘南;杨壹童;邢翰卿;王冠淇;李沐泽,喜剧;犯罪,中国大陆,汉语普通话,2018-01-14(中国大陆)
大世界,刘健,刘健,朱昌龙;曹寇;杨思明;马晓峰;曹恺;刘健;薛峰;朱虹;王达;施海涛;郑懿,动画,中国大陆,汉语普通话,2018-01-12(中国大陆);2017-02-17(柏林电影节)
卧底巨星,谷德昭,谷德昭;陈茂贤;冯勉恒,陈奕迅;李荣浩;李一桐;陈国坤;崔志佳;许绍雄;刘浩龙;田启文;克里斯·柯林斯;马志威;李聪,喜剧;动作,中国大陆 / 香港,汉语普通话,2018-01-12(中国大陆)
大梦西游4伏妖记,马中轩,张寅莅;周枫平,谢苗;南笙;樊蕊;李波儿;白梓轩;杜玉明;程茉;王乙帆;陈茉;曹筠妮;易正福;陈久龙;马君戈,喜剧;动作;奇幻,中国大陆,汉语普通话,2018-01-11(中国大陆)
杀无赦III背水一战,托尼·蒂尔斯,郑东影;陈雪;周航,蓝正龙;邓家佳;萨姆·海登·史密斯;韩鹏翼;周杰妮;何文海;张晶,悬疑;犯罪,中国大陆,汉语普通话,2018-01-07(中国大陆)
杀无赦II逃亡之路,托尼·蒂尔斯,郑东影;陈雪;周航,蓝正龙;邓家佳;韩鹏翼;萨姆·海登·史密斯;周杰妮;何文海;张晶,悬疑;犯罪,中国大陆,汉语普通话,2018-01-07(中国大陆)
镇魂法师,项秋良;项河生,项秋良;项河生,吴千语;陈信喆;岳冬峰;王洪千;邵老五,奇幻;武侠;古装,中国大陆,汉语普通话,2017-12-01(中国大陆)
垫底联盟,王文,王文;张琛;罗立言,余玥;季肖冰;卢蒽洁;柏智杰;王栎鑫;潘时七;方子哥;本杰明,剧情;喜剧,中国大陆,汉语普通话,2017-11-28(中国大陆)
嘉年华,文晏,文晏,文淇;周美君;史可;耿乐;刘威葳;彭静;王栎鑫;李梦男;蒋欣悦;陈竹昇,剧情,中国大陆 / 法国,汉语普通话,2017-11-24(中国大陆);2017-09-07(威尼斯电影节)
引爆者,常征,常征;李萌,段奕宏;余男;王景春;成泰燊;余皑磊;郑楚一;陆彭,动作;犯罪,中国大陆,汉语普通话,2017-11-24(中国大陆);2017-06-26(上海电影节)
推理笔记,张天辉,张天辉,陈都灵;林柏宏;汪铎;郝劭文;金士杰;王刚,剧情;悬疑,中国大陆,汉语普通话,2017-11-24(中国大陆)
暴雪将至,董越,董越,段奕宏;江一燕;杜源;郑伟;郑楚一;张林,剧情;悬疑;犯罪,中国大陆,汉语普通话,2017-11-17(中国大陆);2017-10-29(东京电影节)
恋爱之瘾,蔡洁铃,叶念琛,岑日珈;崔碧珈;曾淑雅;马志威;庄思敏;罗彩玲;陈婉衡;林盛斌;邹文正;陆骏光;邵音音;胡渭康,剧情;喜剧;爱情,香港,汉语普通话,2017-11-17(中国大陆);2016-02-25(香港)
笔仙大战贞子2,黄河,黄河,奚美丽;云翔;朱娅;王宇凝;林奕婧,惊悚;恐怖,中国大陆,汉语普通话,2017-11-17(中国大陆)
那年八岁,杨瑾,林和平,罗京民;杜俊豪;邱林;吕亚萍;焦妮,剧情;儿童,中国大陆,汉语普通话,2017-11-13(中国大陆)
天生不对,谷德昭,谷德昭,周渝民;薛凯琪;郑中基;恬妞;高捷;盛朗熙,喜剧;爱情,中国大陆,汉语普通话,2017-11-10(中国大陆)
暴走刑警,来赫,孙阳,张念骅;董博睿;朱天天;龙洁;邢瀚卿;丁一森;王刚;李渡,剧情;喜剧;犯罪,中国大陆,汉语普通话,2017-11-10(中国大陆)
相爱相亲,张艾嘉,张艾嘉;游晓颖,张艾嘉;田壮壮;郎月婷;宋宁峰;吴彦姝;耿乐;谭维维;刘若英;王志文;李雪健;马嘉祺;张艺瀚,剧情;爱情;家庭,中国大陆 / 台湾,汉语普通话,2017-11-03(中国大陆);2017-10-21(釜山电影节)
我们全家不太熟,王传宗,陆欣芷;张国立,张榕容;张书豪;郝劭文;陈大天;豆宝;陈松勇;许效舜;林美秀;赵树海;邓志鸿;吴朋奉;施易男;蔡黄汝;黄镫辉,喜剧;家庭,台湾,汉语普通话,2017-11-03(中国大陆);2015-12-31(台湾)
七十七天,赵汉唐,赵汉唐;曹金玲;高正;周侯衡;李逍雪,江一燕;赵汉唐,剧情;冒险,中国大陆,汉语普通话,2017-11-03(中国大陆)
阿莉芙,王育麟,王育麟;徐华谦;花柏容;陈慧玲;朱丽安娜·许,舞炯恩·加以法利得;赵逸岚;吴朋奉;陈竹昇;郑人硕;胡德夫,剧情;同性,台湾,汉语普通话,2017-10-26(东京电影节);2017-10-27(台湾)
坑爹游戏,米宝,米宝,于谦;黄一琳;汪东城;李立群;李勤勤;倪虹洁;韩彦博;傅奕晨,剧情;喜剧,中国大陆,汉语普通话,2017-10-20(中国大陆)
胡杨的夏天,朱时茂,张园,朱一龙;姜瑞佳;张文婷;马也;徐光宇;杨大鹏;范晋嘉;王思懿;祝延平;陈佩斯;海哈金喜;潘长江;刘亚津,喜剧;爱情,中国大陆,汉语普通话,2017-10-20(中国大陆)
十八洞村,苗月,,王学圻;白威;陈西贝;陈瑾;墨阳,剧情,中国大陆,汉语普通话,2017-10-13(中国大陆)
怨灵2,李勇昌,,苏查拉·玛娜英;李川;陈立谦;倪慕斯;卢洋;巫恩仪;宋词,悬疑;惊悚;恐怖,中国大陆 / 泰国 / 马来西亚,汉语普通话,2017-10-12(中国大陆/马来西亚)
海带,阚若涵,陆子轩,邓飞;刘飏,喜剧;科幻,中国大陆,汉语普通话,2017-10-10(中国大陆)
小戏骨：红楼梦之刘姥姥进大观园,潘礼平;刘玉洁;胡昀皓;释金光,刘玉洁;罗妤佳,释小松;周漾玥;钟熠璠;郭飞歌;杨纳娜;姚奥依;孙伊雯;刘戴恩;陶冰蓝;孙乐颜;陈舒宜;周艺;翁馨;钟奕儿;崔傲菲儿;高琳子;韦梓彤;艾梦欣;罗熙怡;黄林依阳;刘紫璇;姚雯嘉;陈荣达;肖杨博涵;郑可卓颖;于嘉欣;李芝青;周巧诒;胡轶珂;杨旻奎;刘怡麟;李俊豪;张思晨;余亚颖;刘芸孜;汪鑫瞳;赵奕琳;梁钦;韩一诺;付馨柔;李卓骞;许艺菲;张良哲;王项景浩;黄诚越;张泽晨;姚佳祺;陈星宇;卢俊辰;张靖晗;蔡嘉诚;陈博政;杨知周,剧情;儿童;古装,中国大陆,汉语普通话,2017-10-01(中国大陆)
昆塔：反转星球,李炼,李炼;车轶群;马华,李正翔;洪海天;陶典;郭易峰;赵乾景;李传缨;王肖兵;吴磊;韩娇娇;叶琪;梅晓庆,动画,中国大陆,汉语普通话,2017-10-01(中国大陆)
羞羞的铁拳,宋阳;张吃鱼,张吃鱼;宋阳,艾伦;马丽;沈腾;田雨;宋阳;薛皓文;常远;黄才伦;王智,喜剧;奇幻,中国大陆,汉语普通话,2017-09-30(中国大陆)
空天猎,李晨,李晨;张力;刘毅;高岩;褚翔宇,李晨;范冰冰;王千源;李佳航;赵达;李晨浩;郭洺宇;叶浏;陆思宇;托马尔·奥兹;吴秀波;邓超;王学圻,剧情;动作;战争,中国大陆,汉语普通话,2017-09-29(中国大陆)
缝纫机乐队,大鹏,大鹏;苏彪,大鹏;乔杉;古力娜扎;李鸿其;韩童生;曲隽希;于谦;岳云鹏;王劲松;于洋;代乐乐;赵英俊;马大明;张一鸣;衣云鹤;曹然然;曹桐睿;宋小宝;刘小光;文松;宋晓峰;周冬雨;袁姗姗;宋茜;林志玲,喜剧;音乐,中国大陆,汉语普通话,2017-09-29(中国大陆)
捍卫者,廖希;韩平,啸杨;却却;廖希,白恩;吕星辰;赫子铭;王璐;宋撼寰;杨俊生;小林成男;冯家妹;晓凡;陈俊杰;美浓轮泰史;刘骏焘,剧情;历史;战争,中国大陆,汉语普通话,2017-09-22(中国大陆);2017-06-22(上海电影节)
谜证,汪洋,汪洋,苗侨伟;高利虹;袁嘉敏;宋词;巴多;桑平;陈保元;徐明哲;刘艳艳;陆忠;天津喜哥;张建梁;宋庆;李根,剧情;悬疑;犯罪,中国大陆,汉语普通话,2017-09-22(中国大陆)
二次初恋,戴玮,桂东鸣;步晓峰;张晓乐;刘秋烨,朱茵;杜天皓;黄征;王志飞;王嘉宁;夏志远;邰智源;陈牧耶,喜剧;爱情;奇幻,中国大陆,汉语普通话,2017-08-31(中国大陆)
黑白迷宫,阚家伟,王晶,任达华;陈小春;伍允龙;邱意浓;张兆辉;林雪;李子雄;桂晶晶,剧情;动作;犯罪,中国大陆 / 香港,汉语普通话,2017-08-31(中国大陆)
小戏骨：放开那三国,潘礼平;邹江;尹俊欢,邢育森;高翔,陶奕希;李俊豪;葛奕德;赵晨翔;陈荣达;罗自豪;陶冰蓝;周冉;黎哲彬;祁晟原;段智文;周柯伊;赵士添,剧情;儿童;历史;古装,中国大陆,汉语普通话,2017-08-28(中国大陆)
红衣小女孩2,程伟豪,简士耕,杨丞琳;许玮甯;高慧君;龙劭华;黄河;吴念轩;詹宛儒;林裔臻;林芷瑈;黄镫辉;刘引商,惊悚;恐怖,台湾,汉语普通话,2017-08-25(台湾)
十万个冷笑话2,卢恒宇;李姝洁,卢恒宇;李姝洁;寒舞;隋佳林;高信影;赵聪,山新;郝祥海;李姝洁;藤新;图特哈蒙;李佳怡;佟心竹;九孔;卢恒宇;宝木中阳,喜剧;动画;奇幻,中国大陆,汉语普通话,2017-08-18(中国大陆)
赛尔号大电影6：圣者无敌,王章俊,王章俊;邓磊,罗玉婷;翟巍;王晓彤;孙晔,喜剧;动画;儿童;奇幻;冒险,中国大陆,汉语普通话,2017-08-18(中国大陆)
破·局,连奕琦,林宇辰;于尚民,郭富城;王千源;刘涛;余皑磊;冯嘉怡;郑凯,动作;犯罪,中国大陆,汉语普通话,2017-08-17(中国大陆)
侠盗联盟,冯德伦,冯德伦;罗耀辉;哈智超;张志光;黄小庄,刘德华;舒淇;张静初;杨祐宁;让·雷诺;曾志伟;沙溢;游天翼;张益群,动作;冒险,中国大陆 / 香港 / 捷克,汉语普通话,2017-08-11(中国大陆)
心理罪,谢东燊,顾小白;李昭;曹晨;雷米,廖凡;李易峰;万茜;李纯;张国柱;谢君豪;封佳奇;蔡鹭;虞朗;范湉湉,动作;悬疑;犯罪,中国大陆,汉语普通话,2017-08-11(中国大陆)
星游记之风暴法米拉,胡一泊,刘磊,陶典;小连杀;山新;宝木中阳;边江;图特哈蒙;曹云图;笑谈;杨天翔;郭盛;阎萌萌;幽舞越山;佟心竹;皇贞季;藤新;邢凯新;叮当;姜广涛,动作;动画;奇幻;冒险,中国大陆,汉语普通话,2017-08-11(中国大陆)
鲛珠传,杨磊,张炭;徐照青;杨磊,王大陆;张天爱;任达华;盛冠森;王迅;赵健;刘俊孝;释彦能;胡兵;何穗;蒋璐霞;杜奕衡;周一围,喜剧;动作;爱情;奇幻,中国大陆 / 香港,汉语普通话,2017-08-11(中国大陆)
三生三世十里桃花,赵小丁;安东尼·拉默里纳拉,李晗;刘晗;麦灵;张亚亮;唐七,刘亦菲;杨洋;罗晋;严屹宽;李纯;顾璇;陈佩斯;彭子苏;张贺茗;王羽铮;塔拉,爱情;奇幻,中国大陆,汉语普通话,2017-08-03(中国大陆)
大耳朵图图之美食狂想曲,速达,,潘延;范楚绒;胡谦;王衡;李晔;王肖兵;吴磊;蒋可;李心仪;蒋孙丞薇;游军;周南飞;王晓彤;严丽祯;曹可凡;金炜,喜剧;动画;冒险,中国大陆,汉语普通话,2017-07-28(中国大陆)
狐妖小红娘剧场版：千颜,王昕,小新,乔诗语;杨天翔;刘校妤,剧情;爱情;奇幻,中国大陆,汉语普通话,2017-07-28(中国大陆)
豆福传,邹燚,司文;郭彥君;王昊然;黄锟,陈佩斯;李立群;季冠霖;付博文,动画,中国大陆,汉语普通话,2017-07-28(中国大陆)
父子雄兵,袁卫东,苏亮;毛海青,大鹏;范伟;张天爱;乔杉;邬君梅;任达华;梁龙;马书良;柳岩,喜剧,中国大陆,汉语普通话,2017-07-21(中国大陆);2017-06-19(上海电影节)
阿唐奇遇,王微,王微,石磊;原泽宇;季冠霖;洪晃;米粒;芒莱;张磊;赵岭;严燕生;仁杰;任亚明;赵霁,动画;奇幻;冒险,中国大陆,汉语普通话,2017-07-21(中国大陆);2017-06-17(上海电影节)
闪光少女,王冉,鲍鲸鲸,徐璐;彭昱畅;刘泳希;鲁照华;韩忠羽;李诺;骆明劼;陈雨锶;乐思宏;崔可法;陆建艺;陈奕迅;汤甄;闫妮;耿乐,喜剧;音乐,中国大陆,汉语普通话,2017-07-20(中国大陆);2017-06-18(上海电影节)
绣春刀II：修罗战场,路阳,陈舒;路阳;禹扬,张震;杨幂;张译;雷佳音;辛芷蕾;金士杰;刘端端;武强;杨轶;李媛;吴晓亮;李洪涛;刘峰超;袁文康;马赫;刘亭作;姜晓冲;陈齐威;王仁君;周一围,剧情;动作;武侠;古装,中国大陆,汉语普通话,2017-07-19(中国大陆);2017-06-18(上海电影节)
东北插班生,姜秉辰,,史元庭;陈世承;范少勋,喜剧;动作,中国大陆,汉语普通话,2017-07-15(中国大陆)
大护法,不思凡,不思凡,小连杀;图特哈蒙;金士杰;幽舞越山;李佳怡;李兰陵;郭盛;叶知秋;佟心竹;邢凯新;藤新;郝祥海,喜剧;动画;奇幻;冒险,中国大陆,汉语普通话,2017-07-13(中国大陆)
悟空传,郭子健,郭子健;今何在;黄海;范文文;黄智亨,彭于晏;倪妮;余文乐;俞飞鸿;欧豪;郑爽;乔杉;杨迪;巴音;王德顺,剧情;动作;奇幻,中国大陆,汉语普通话,2017-07-13(中国大陆)
替身,周美玲,周美玲,钟瑶;卢婕,剧情;爱情;同性,台湾,汉语普通话,2017-07-09(台湾)
绝世高手,卢正雨,卢正雨;赵英俊;冷旭阳;果晓丹,卢正雨;郭采洁;范伟;蔡国庆;陈冲;仓田保昭;孔连顺;黄龄;杨迪;柯达;艾伦;赵英俊;魏翔;汪聪;何蓝逗,喜剧;动作,中国大陆,汉语普通话,2017-07-07(中国大陆);2017-06-22(上海电影节)
秘果,连奕琦,饶雪漫,陈飞宇;欧阳娜娜;邹元清;张诚航;欧豪;米咪;咏梅;曹卫宇;张瑶,爱情,中国大陆,汉语普通话,2017-07-07(中国大陆)
京城81号2,钱人豪,谭广源;蔡骏;黄慧惠,张智霖;梅婷;钟欣潼;耿乐;邬君梅;王水林;陈冲;高捷;林雪;连凯;万国鹏;披拉·尼迪裴善官,剧情;悬疑;惊悚,中国大陆,汉语普通话,2017-07-06(中国大陆)
明月几时有,许鞍华,何冀平,周迅;彭于晏;霍建华;叶德娴;郭涛;春夏;黄志忠;蒋雯丽;梁家辉;王菀之;吕良伟;鲍起静;李灿森;梁文道;张兆辉;冯淬帆;苑琼丹;唐宁;卢巧音;许鞍华;永濑正敏;森田凉花;廖骏雄;何华超;蔡瀚亿;欧锦棠;熊欣欣;吴岱融,剧情;历史;战争,中国大陆 / 香港,汉语普通话,2017-07-01(中国大陆);2017-06-18(上海电影节)
伪婚男女,周美玲,周美玲;欧阳瑶,唐振刚;周厚安;李京恬;程茉;王琄,剧情;同性,台湾,汉语普通话,2017-07-01(台湾-Vidol频道)
强尼凯克,黄熙,黄熙,柯宇纶;瑞玛席丹;黄远;黄韵玲;唐治平;张国柱;高捷,剧情,台湾,汉语普通话,2017-07-01(台北电影节);2017-07-23(FIRST青年影展);2017-11-21(台北金马影展);2017-12-15(台湾)
